Country,Year,Consumption,Month,Type,Region
Malawi,2015,1,April,Arabica,Africa & Middle East
Papua New Guinea,2015,2,April,Arabica/Robusta,Southeast Asia
Paraguay,2015,20,April,Arabica,Central & South America
Peru,2015,250,April,Arabica,Central & South America
Rwanda,2015,1,April,Arabica,Africa & Middle East
Timor-Leste,2015,0,April,Arabica,Southeast Asia
Zimbabwe,2015,4,April,Arabica,Africa & Middle East
Congo,2015,3,July,Robusta,Africa & Middle East
Cuba,2015,220,July,Arabica,Central & South America
Dominican Republic,2015,388,July,Arabica/Robusta,Central & South America
Haiti,2015,340,July,Arabica,Central & South America
Philippines,2015,"3,000",July,Arabica/Robusta,Southeast Asia
Tanzania,2015,92,July,Arabica/Robusta,Africa & Middle East
Zambia,2015,0,July,Arabica,Africa & Middle East
Cameroon,2015,76,October,Arabica/Robusta,Africa & Middle East
Central African Republic,2015,20,October,Robusta,Africa & Middle East
Colombia,2015,"1,720",October,Arabica,Central & South America
Costa Rica,2015,449,October,Arabica,Central & South America
Cote d'Ivoire,2015,317,October,Robusta,Africa & Middle East
Democratic Republic of Congo,2015,200,October,Arabica/Robusta,Africa & Middle East
El Salvador,2015,285,October,Arabica,Central & South America
Equatorial Guinea,2015,0,October,Robusta,Africa & Middle East
Ethiopia,2015,"3,501",October,Arabica,Africa & Middle East
Gabon,2015,1,October,Robusta,Africa & Middle East
Ghana,2015,2,October,Robusta,Africa & Middle East
Guatemala,2015,390,October,Arabica/Robusta,Central & South America
Guinea,2015,50,October,Robusta,Africa & Middle East
Guyana,2015,9,October,Robusta,Central & South America
Honduras,2015,365,October,Arabica,Central & South America
India,2015,"1,450",October,Arabica/Robusta,Southeast Asia
Jamaica,2015,9,October,Arabica,Central & South America
Kenya,2015,60,October,Arabica,Africa & Middle East
Laos,2015,150,October,Robusta,Southeast Asia
Liberia,2015,5,October,Robusta,Africa & Middle East
Mexico,2015,"2,329",October,Arabica/Robusta,Central & South America
Nepal,2015,0,October,Arabica,Southeast Asia
Nicaragua,2015,214,October,Arabica,Central & South America
Nigeria,2015,40,October,Robusta,Africa & Middle East
Panama,2015,67,October,Arabica,Central & South America
Sierra Leone,2015,5,October,Robusta,Africa & Middle East
Sri Lanka,2015,35,October,Arabica/Robusta,Southeast Asia
Thailand,2015,"1,300",October,Arabica/Robusta,Southeast Asia
Togo,2015,0,October,Robusta,Africa & Middle East
Trinidad & Tobago,2015,10,October,Robusta,Central & South America
Uganda,2015,234,October,Arabica/Robusta,Africa & Middle East
Venezuela,2015,"1,650",October,Arabica,Central & South America
Vietnam,2015,"2,300",October,Arabica/Robusta,Southeast Asia
Yemen,2015,115,October,Arabica,Africa & Middle East
