Country,Year,Export,Type,Month
Liberia,2010,7,Robusta,October
Madagascar,2010,74,Robusta,April
Malawi,2010,8,Arabica,April
Mexico,2010,"2,498",Arabica/Robusta,October
Nepal,2010,1,Arabica,October
Nicaragua,2010,"1,712",Arabica,October
Nigeria,2010,3,Robusta,October
Panama,2010,65,Arabica,October
Papua New Guinea,2010,929,Arabica/Robusta,April
Paraguay,2010,0,Arabica,April
Peru,2010,"3,817",Arabica,April
Philippines,2010,6,Arabica/Robusta,July
Sierra Leone,2010,58,Robusta,October
Sri Lanka,2010,2,Arabica/Robusta,October
Tanzania,2010,556,Arabica/Robusta,July
Thailand,2010,370,Arabica/Robusta,October
Timor-Leste,2010,68,Arabica,April
Togo,2010,198,Robusta,October
Trinidad & Tobago,2010,1,Robusta,October
Uganda,2010,"2,657",Arabica/Robusta,October
Venezuela,2010,19,Arabica,October
Vietnam,2010,"14,229",Arabica/Robusta,October
Yemen,2010,44,Arabica,October
Zambia,2010,18,Arabica,July
Zimbabwe,2010,7,Arabica,April
Angola,2015,11,Arabica/Robusta,April
Bolivia,2015,30,Arabica,April
Brazil,2015,"37,563",Arabica/Robusta,April
Burundi,2015,230,Arabica/Robusta,April
Cameroon,2015,390,Arabica/Robusta,October
Central African Republic,2015,43,Robusta,October
Colombia,2015,"12,716",Arabica,October
Congo,2015,0,Robusta,July
Costa Rica,2015,"1,128",Arabica,October
Cote d'Ivoire,2015,"1,418",Robusta,October
Cuba,2015,13,Arabica,July
Democratic Republic of Congo,2015,128,Arabica/Robusta,October
Dominican Republic,2015,19,Arabica/Robusta,July
Ecuador,2015,869,Arabica/Robusta,April
El Salvador,2015,576,Arabica,October
Equatorial Guinea,2015,0,Robusta,October
Ethiopia,2015,"2,985",Arabica,October
Gabon,2015,0,Robusta,October
Ghana,2015,40,Robusta,October
Guatemala,2015,"2,961",Arabica/Robusta,October
Guinea,2015,152,Robusta,October
Guyana,2015,2,Robusta,October
Haiti,2015,3,Arabica,July
Honduras,2015,"5,030",Arabica,October
India,2015,"5,262",Arabica/Robusta,October
Indonesia,2015,"8,379",Arabica/Robusta,April
Jamaica,2015,12,Arabica,October
Kenya,2015,712,Arabica,October
Laos,2015,403,Robusta,October
Liberia,2015,4,Robusta,October
Madagascar,2015,59,Robusta,April
Malawi,2015,18,Arabica,April
Mexico,2015,"2,458",Arabica/Robusta,October
Nepal,2015,2,Arabica,October
Nicaragua,2015,"1,753",Arabica,October
Nigeria,2015,3,Robusta,October
Panama,2015,50,Arabica,October
Papua New Guinea,2015,711,Arabica/Robusta,April
Paraguay,2015,0,Arabica,April
Peru,2015,"2,790",Arabica,April
Philippines,2015,15,Arabica/Robusta,July
Sierra Leone,2015,54,Robusta,October
Sri Lanka,2015,0,Arabica/Robusta,October
Tanzania,2015,709,Arabica/Robusta,July
Thailand,2015,578,Arabica/Robusta,October
Timor-Leste,2015,68,Arabica,April
Togo,2015,178,Robusta,October
Trinidad & Tobago,2015,2,Robusta,October
Uganda,2015,"3,596",Arabica/Robusta,October
Venezuela,2015,1,Arabica,October
Vietnam,2015,"21,944",Arabica/Robusta,October
Yemen,2015,52,Arabica,October
Zambia,2015,3,Arabica,July
Zimbabwe,2015,11,Arabica,April
