Country,Quarter,Amount
Morocco,2021 Q3,67
Morocco,2021 Q4,226
Morocco,2022 Q1,51
Morocco,2022 Q2,92
Morocco,2022 Q3,559
Mozambique,2021 Q1,4
Mozambique,2021 Q2,0
Mozambique,2021 Q3,4
Mozambique,2021 Q4,6
Mozambique,2022 Q1,10
Mozambique,2022 Q2,0
Mozambique,2022 Q3,6
Nigeria,2021 Q1,34
Nigeria,2021 Q2,48
Nigeria,2021 Q3,54
Nigeria,2021 Q4,96
Nigeria,2022 Q1,41
Nigeria,2022 Q2,31
Nigeria,2022 Q3,5
Senegal,2021 Q1,29
Senegal,2021 Q2,15
Senegal,2021 Q3,11
Senegal,2021 Q4,29
Senegal,2022 Q1,36
Senegal,2022 Q2,31
Senegal,2022 Q3,4
Seychelles,2021 Q1,0
Seychelles,2021 Q2,1
Seychelles,2021 Q3,1
Seychelles,2021 Q4,4
Seychelles,2022 Q1,0
Seychelles,2022 Q2,2
Seychelles,2022 Q3,5
Sierra Leone,2021 Q1,1
Sierra Leone,2021 Q2,0
Sierra Leone,2021 Q3,4
Sierra Leone,2021 Q4,2
Sierra Leone,2022 Q1,5
Sierra Leone,2022 Q2,1
Sierra Leone,2022 Q3,0
Somalia,2021 Q1,6
Somalia,2021 Q2,15
Somalia,2021 Q3,9
Somalia,2021 Q4,55
Somalia,2022 Q1,3
Somalia,2022 Q2,15
Somalia,2022 Q3,13
South Africa,2021 Q1,9
South Africa,2021 Q2,10
South Africa,2021 Q3,33
South Africa,2021 Q4,56
South Africa,2022 Q1,19
South Africa,2022 Q2,35
South Africa,2022 Q3,70
Sudan,2021 Q1,5
Sudan,2021 Q2,2
Sudan,2021 Q3,17
Sudan,2021 Q4,0
Sudan,2022 Q1,1
Sudan,2022 Q2,0
Sudan,2022 Q3,0
Tanzania,2021 Q1,13
Tanzania,2021 Q2,3
Tanzania,2021 Q3,2
Tanzania,2021 Q4,5
Tanzania,2022 Q1,3
Tanzania,2022 Q2,7
Tanzania,2022 Q3,0
Togo,2021 Q1,20
Togo,2021 Q2,14
Togo,2021 Q3,8
Togo,2021 Q4,36
Togo,2022 Q1,14
Togo,2022 Q2,3
Togo,2022 Q3,3
Tunisia,2021 Q1,117
Tunisia,2021 Q2,56
Tunisia,2021 Q3,56
Tunisia,2021 Q4,155
Tunisia,2022 Q1,115
Tunisia,2022 Q2,93
Tunisia,2022 Q3,139
Argentina,2021 Q1,37
Argentina,2021 Q2,12
Argentina,2021 Q3,3
Argentina,2021 Q4,16
Argentina,2022 Q1,2
Argentina,2022 Q2,18
Argentina,2022 Q3,1
Belize,2021 Q1,2
Belize,2021 Q2,1
Belize,2021 Q3,1
Belize,2021 Q4,1
Belize,2022 Q1,1
Belize,2022 Q2,1
Belize,2022 Q3,0
Brazil,2021 Q1,87
Brazil,2021 Q2,67
Brazil,2021 Q3,103
Brazil,2021 Q4,60
Brazil,2022 Q1,48
Brazil,2022 Q2,18
Brazil,2022 Q3,148
Canada,2021 Q1,114
Canada,2021 Q2,89
Canada,2021 Q3,154
Canada,2021 Q4,76
Canada,2022 Q1,64
Canada,2022 Q2,51
Canada,2022 Q3,32
Chile,2021 Q1,16
Chile,2021 Q2,33
Chile,2021 Q3,20
Chile,2021 Q4,21
Chile,2022 Q1,38
Chile,2022 Q2,9
Chile,2022 Q3,7
Colombia,2021 Q1,170
Colombia,2021 Q2,158
Colombia,2021 Q3,119
Colombia,2021 Q4,172
Colombia,2022 Q1,133
Colombia,2022 Q2,122
Colombia,2022 Q3,75
Costa Rica,2021 Q1,6
Costa Rica,2021 Q2,28
Costa Rica,2021 Q3,19
Costa Rica,2021 Q4,18
Costa Rica,2022 Q1,30
Costa Rica,2022 Q2,56
Costa Rica,2022 Q3,16
Cuba,2021 Q1,2
Cuba,2021 Q2,48
Cuba,2021 Q3,42
Cuba,2021 Q4,40
Cuba,2022 Q1,38
Cuba,2022 Q2,18
Cuba,2022 Q3,20
Dominican Republic,2021 Q1,7
Dominican Republic,2021 Q2,7
Dominican Republic,2021 Q3,6
Dominican Republic,2021 Q4,149
Dominican Republic,2022 Q1,36
Dominican Republic,2022 Q2,66
Dominican Republic,2022 Q3,0
Ecuador,2021 Q1,38
Ecuador,2021 Q2,10
Ecuador,2021 Q3,22
Ecuador,2021 Q4,16
Ecuador,2022 Q1,6
Ecuador,2022 Q2,5
Ecuador,2022 Q3,93
Jamaica,2021 Q1,7
Jamaica,2021 Q2,0
Jamaica,2021 Q3,15
